token,role,family,weight,size_at_375,size_at_430,letter_spacing_pct,line_height,uppercase
--text-hero,"Prize amounts, splash lockup",Poster Gothic,800,26,36,-2,1.00,yes
--text-2xl,"Screen titles, celebration headings",Poster Gothic,800,24,32,-1,1.10,yes
--text-xl,"Section and card headings",Poster Gothic,800,20,26,-1,1.15,yes
--text-lg,"Sub-headings, greeting, summary values",Poster Gothic,800,17,22,-1,1.20,yes
--text-md,"Emphasised body, list item titles",Inter,600,14,17,0,1.40,no
--text-body,"Body copy, button labels, inputs",Inter,400,13,15,0,1.55,no
--text-sm,"Secondary body, captions, helper text",Inter,400,11,13,0,1.50,no
--text-xs,"Eyebrow labels, tab labels, meta chips",Inter,600,10,11,15,1.40,yes
--text-mono,"Timers, multipliers, card numbers",Space Mono,400,11,13,5,1.40,no
